# ELENCOS REAIS — fonte enviada pelo dono do jogo em 23/09/2026.
#
# Formato de cada linha:  Nome | Posição | dd/mm/aaaa (idade) | Nacionalidades | Valor
# Linha que começa com "# CLUBE:" abre o elenco de um clube.
#
# O clube entre parênteses no nome do jogador é o clube DE ORIGEM de quem está
# emprestado — o jogador conta pro elenco do bloco, não pro clube do parêntese.
#
# Este arquivo é a fonte; games/core/fut_importar.php vira elenco do jogo.

# CLUBE: Flamengo
Walace Falcão | Zagueiro | 07/03/2005 (21) | Brasil | -
Cuiabano | Lateral Esq. | 16/02/2003 (23) | Brasil | € 10.00 mi.
Lucas Piton | Lateral Esq. | 09/10/2000 (25) | Brasil, Itália | € 6.00 mi.
Riquelme | Lateral Esq. | 28/08/2002 (24) | Brasil | € 700 mil
Paulinho | Lateral Esq. | 29/06/2004 (22) | Brasil | € 600 mil
Paulo Henrique | Lateral Dir. | 25/07/1996 (30) | Brasil | € 6.00 mi.
José Luis Rodríguez | Lateral Dir. | 14/03/1997 (29) | Uruguai | € 1.50 mi.
JV Fonseca | Lateral Dir. | 29/05/2005 (21) | Brasil | -
Santiago Sosa | Volante | 03/05/1999 (27) | Argentina | € 8.00 mi.
Cauan Barros | Volante | 06/05/2004 (22) | Brasil | € 5.00 mi.
Thiago Mendes | Volante | 15/03/1992 (34) | Brasil | € 1.30 mi.
Mateus Carvalho | Volante | 18/03/2002 (24) | Brasil | € 1.20 mi.
Jair | Volante | 26/08/1994 (32) | Brasil | € 800 mil
Euder | Volante | 18/03/2005 (21) | Brasil | -
Ramon Rique | Meia Central | 02/10/2007 (18) | Brasil | € 1.00 mi.
Tchê Tchê | Meia Central | 30/08/1992 (34) | Brasil | € 800 mil
Alan Lescano | Meia Ofensivo | 11/11/2001 (24) | Argentina | € 7.50 mi.
Johan Rojas | Meia Ofensivo | 20/09/2002 (24) | Colômbia | € 3.80 mi.
Guilherme Estrella | Meia Ofensivo | 06/01/2005 (21) | Brasil | € 1.00 mi.
Andrés Gómez | Ponta Esquerda | 12/09/2002 (24) | Colômbia | € 11.00 mi.
David | Ponta Esquerda | 17/10/1995 (30) | Brasil | € 1.50 mi.
Nuno Moreira | Ponta Direita | 16/06/1999 (27) | Portugal | € 7.00 mi.
Marino Hinestroza | Ponta Direita | 08/07/2002 (24) | Colômbia | € 4.80 mi.
Adson | Ponta Direita | 06/10/2000 (25) | Brasil | € 2.50 mi.
Loide Augusto | Ponta Direita | 26/02/2000 (26) | Angola | € 1.20 mi.
Facundo Colidio | Centroavante | 04/01/2000 (26) | Argentina | € 5.00 mi.
Bruno Duarte | Centroavante | 24/03/1996 (30) | Brasil | € 4.00 mi.
